;in;out
104;Phorid;(Phorid,(Azteca,(Parasites 1,Scale)))
105;(Phorid,(Azteca,(Parasites 1,Scale)));(Azteca,(Parasites 1,Scale))
106;Phorid;(Phorid,(Azteca,(Parasites 2,Azya orbigera)))
107;(Phorid,(Azteca,(Parasites 2,Azya orbigera)));(Azteca,(Parasites 2,Azya orbigera))
108;Phorid;(Phorid,(Azteca,(Scale,Azya orbigera)))
109;(Phorid,(Azteca,(Scale,Azya orbigera)));(Azteca,(Scale,Azya orbigera))
110;Phorid;(Phorid,(Azteca,(Scale,Parasites 1)))
111;(Phorid,(Azteca,(Scale,Parasites 1)));(Azteca,(Scale,Parasites 1))
112;Phorid;(Phorid,(Azteca,Azya orbigera))
113;(Phorid,(Azteca,Azya orbigera));(Azteca,Azya orbigera)
114;Phorid;(Phorid,(Azteca,Pseudomyrmex))
115;(Phorid,(Azteca,Pseudomyrmex));(Azteca,Pseudomyrmex)
116;Phorid;(Phorid,Linyphiidae)
117;(Phorid,Linyphiidae);Linyphiidae
118;Pseudomyrmex;(Pseudomyrmex,Berry Borer)
119;(Pseudomyrmex,Berry Borer);Berry Borer
120;Pseudomyrmex;(Pseudomyrmex,Leaf Miner)
121;(Pseudomyrmex,Leaf Miner);Leaf Miner
122;Pseudomyrmex;(Pseudomyrmex,Pheidole synanthropica)
123;(Pseudomyrmex,Pheidole synanthropica);Pheidole synanthropica
124;Pseudomyrmex;(Pseudomyrmex,Solenopsis picea)
125;(Pseudomyrmex,Solenopsis picea);Solenopsis picea
126;Scale;(Scale,Azteca)
127;(Scale,Azteca);Azteca
128;Scale;(Scale,Azya orbigera)
129;(Scale,Azya orbigera);Azya orbigera
130;Scale;(Scale,Diomus)
131;(Scale,Diomus);Diomus
132;Scale;(Scale,Parasites 1)
133;(Scale,Parasites 1);Parasites 1
134;Scale;(Scale,Pheidole synanthropica)
135;(Scale,Pheidole synanthropica);Pheidole synanthropica
136;Scale;(Scale,White Halo Fungus)
137;(Scale,White Halo Fungus);White Halo Fungus
138;Solenopsis geminata;(Solenopsis geminata,Pheidole synanthropica)
139;(Solenopsis geminata,Pheidole synanthropica);Pheidole synanthropica
140;Solenopsis picea;(Solenopsis picea,Pseudomyrmex)
141;(Solenopsis picea,Pseudomyrmex);Pseudomyrmex
142;Solenopsis picea;(Solenopsis picea,Wasamannia auropunctata)
143;(Solenopsis picea,Wasamannia auropunctata);Wasamannia auropunctata
144;Wasamannia auropunctata;(Wasamannia auropunctata,Berry Borer)
145;(Wasamannia auropunctata,Berry Borer);Berry Borer
146;Wasamannia auropunctata;(Wasamannia auropunctata,Solenopsis picea)
147;(Wasamannia auropunctata,Solenopsis picea);Solenopsis picea
148;White Halo Fungus;(White Halo Fungus,Coffee Rust)
149;(White Halo Fungus,Coffee Rust);Coffee Rust
150;White Halo Fungus;(White Halo Fungus,Scale)
151;(White Halo Fungus,Scale);Scale
