,species,degree_in,degree_out
0,"(Azya orbigera,(Scale,White Halo Fungus))",1,1
1,White Halo Fungus,2,2
2,Pheidole protensa,2,2
3,"(Azteca,(Parasites 1,Scale))",2,1
4,"(Pheidole protensa,Pheidole synanthropica)",1,1
5,"(Pheidole protensa,Berry Borer)",1,1
6,"(Diomus,Azya orbigera)",1,1
7,Scale,3,6
8,"(Linyphiidae,Phorid)",2,1
9,"(Scale,Azteca)",2,1
10,"(Pheidole synanthropica,Pseudomyrmex)",1,1
11,"(Azteca,(Linyphiidae,Phorid))",1,1
12,"(Azteca,(Linyphiidae,Parasites 1))",1,1
13,"(Mycodiplosis,Coffee Rust)",1,1
14,"(Solenopsis picea,Wasamannia auropunctata)",1,1
15,"(Azteca,(Phorid,Linyphiidae))",1,1
16,"(Scale,Pheidole synanthropica)",2,1
17,Azteca,2,18
18,"(Phorid,Linyphiidae)",2,1
19,"(Pheidole synanthropica,(Parasites 1,Scale))",1,1
20,"(Phorid,(Azteca,(Scale,Azya orbigera)))",1,1
21,"(Phorid,(Azteca,(Scale,Parasites 1)))",1,1
22,"(Wasamannia auropunctata,Solenopsis picea)",1,1
23,"(Scale,Parasites 1)",3,1
24,"(Azteca,Azya orbigera)",2,1
25,Leaf Miner,2,2
26,"(Azteca,(Parasites 1,Linyphiidae))",1,1
27,"(Berry Borer,Pheidole protensa)",1,1
28,"(Phorid,(Azteca,(Parasites 1,Scale)))",1,1
29,"(Berry Borer,Pheidole synanthropica)",1,1
30,"(Azteca,Berry Borer)",1,1
31,"(Solenopsis picea,Pseudomyrmex)",1,1
32,"(Pseudomyrmex,Solenopsis picea)",1,1
33,Solenopsis geminata,1,1
34,Pseudomyrmex,5,4
35,"(Scale,Diomus)",2,1
36,"(Coffee Rust,White Halo Fungus)",1,1
37,"(Scale,Azya orbigera)",2,1
38,"(Linyphiidae,Parasites 1)",2,1
39,"(Pheidole synanthropica,(Scale,Parasites 1))",1,1
40,"(Pseudomyrmex,Pheidole synanthropica)",1,1
41,"(Azteca,(Scale,Azya orbigera))",2,1
42,"(White Halo Fungus,Coffee Rust)",1,1
43,"(Phorid,(Azteca,(Parasites 2,Azya orbigera)))",1,1
44,"(Leaf Miner,Pseudomyrmex)",1,1
45,"(Azteca,(Azya orbigera,Scale))",2,1
46,"(Solenopsis geminata,Pheidole synanthropica)",1,1
47,"(Pheidole synanthropica,(Scale,Azteca))",1,1
48,"(Phorid,(Azteca,(Azya orbigera,Parasites 2)))",1,1
49,"(Parasites 1,Linyphiidae)",2,1
50,"(Azya orbigera,Scale)",2,1
51,"(Pheidole synanthropica,(Scale,Diomus))",1,1
52,"(Azteca,Pseudomyrmex)",2,1
53,"(Scale,White Halo Fungus)",2,1
54,Solenopsis picea,2,2
55,"(Azteca,(Scale,Pheidole synanthropica))",1,1
56,"(Parasites 3,Leaf Miner)",1,1
57,"(Pseudomyrmex,Leaf Miner)",1,1
58,"(Azya orbigera,Parasites 2)",2,1
59,"(Berry Borer,Azteca)",1,1
60,Azya orbigera,4,5
61,"(Parasites 1,Scale)",3,1
62,"(Parasites 2,Azya orbigera)",2,1
63,"(Pheidole synanthropica,Pheidole protensa)",1,1
64,Linyphiidae,2,2
65,"(Phorid,(Azteca,(Azya orbigera,Scale)))",1,1
66,Parasites 2,1,1
67,"(Azteca,(Azya orbigera,Parasites 2))",2,1
68,Mycodiplosis,1,1
69,Phorid,2,9
70,Wasamannia auropunctata,2,2
71,Parasites 1,2,2
72,"(Pheidole synanthropica,Solenopsis geminata)",1,1
73,"(Pheidole synanthropica,Berry Borer)",1,1
74,"(Azya orbigera,(White Halo Fungus,Scale))",1,1
75,"(Azteca,(Scale,Parasites 1))",2,1
76,"(Coffee Rust,Mycodiplosis)",1,1
77,"(Azya orbigera,Diomus)",1,1
78,"(Azteca,Phorid)",1,1
79,Pheidole synanthropica,6,8
80,"(Pseudomyrmex,Berry Borer)",2,1
81,"(Phorid,(Azteca,Pseudomyrmex))",1,1
82,"(Phorid,(Azteca,Azya orbigera))",1,1
83,"(Azteca,Pheidole synanthropica)",1,1
84,Coffee Rust,2,2
85,"(Berry Borer,Wasamannia auropunctata)",1,1
86,Diomus,2,1
87,"(Azteca,(Parasites 2,Azya orbigera))",2,1
88,"(Leaf Miner,Parasites 3)",1,1
89,"(White Halo Fungus,Scale)",2,1
90,"(Wasamannia auropunctata,Berry Borer)",1,1
91,Parasites 3,1,1
92,"(Azteca,(Pseudomyrmex,Berry Borer))",1,1
93,"(Berry Borer,Pseudomyrmex)",2,1
94,"(Azteca,(Berry Borer,Pseudomyrmex))",1,1
95,Berry Borer,5,5
